Año,Mes,Región,Frecuencia 2024,Frecuencia 2025,fuente
2025,Enero,Región de Arica y Parinacota,3,5,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Tarapacá,3,2,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Antofagasta,1,3,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Atacama,2,1,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Coquimbo,1,5,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Valparaíso,10,7,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región Metropolitana de Santiago,59,43,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región del Libertador Gral. Bernardo O’Higgins,12,2,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región del Maule,4,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Ñuble,0,0,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región del Biobío,13,4,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de La Araucanía,5,9,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Los Ríos,3,2,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Los Lagos,6,11,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Aysén del Gral. Carlos Ibáñez del Campo,1,0,Carabineros de Chile y la Policía de Investigaciones de Chile
2025,Enero,Región de Magallanes y de la Antártica Chilena,0,0,Carabineros de Chile y la Policía de Investigaciones de Chile
